Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
Strongly agree,22,26,29,1,1
Somewhat agree,67,109,87,15,1
No opinion,52,103,179,26,3
Somewhat disagree,53,94,88,12,1
Strongly disagree,27,39,29,8,2
