Option,I was discouraged from pursuing medical school by my pre-medical advising experience,Not I was discouraged from pursuing medical school by my pre-medical advising experience
Strongly agree,0,73
Somewhat agree,2,262
No opinion,0,346
Somewhat disagree,0,239
Strongly disagree,2,101
