Option,Very accurately,Somewhat accurately,No opinion,Somewhat inaccurately,Very inaccurately
Strongly agree,12,44,8,14,2
Somewhat agree,18,131,39,74,18
No opinion,24,134,80,114,11
Somewhat disagree,4,117,34,76,18
Strongly disagree,2,36,17,33,16
