Option,Very comfortable,Somewhat comfortable,No opinion,Somewhat uncomfortable,Very uncomfortable
Strongly agree,32,38,1,7,2
Somewhat agree,91,148,7,27,6
No opinion,132,170,12,34,14
Somewhat disagree,83,119,7,37,3
Strongly disagree,32,48,1,22,2
