Option,They were a strong factor in my decision,They were a minor factor in my decision,"I looked at college rankings, but they did not factor into my decision",I did not look at college rankings
Strongly agree,27,38,10,5
Somewhat agree,90,122,56,12
No opinion,124,161,63,14
Somewhat disagree,74,118,46,11
Strongly disagree,36,33,26,10
