Option,None,Just loans,Grants and loans,"Grants, covering some costs","Grants, covering all costs"
Strongly agree,42,7,12,12,6
Somewhat agree,153,12,47,49,16
No opinion,188,26,64,56,25
Somewhat disagree,134,9,58,28,16
Strongly disagree,37,10,19,21,17
