Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Strongly agree,80,0,0,0,0
Somewhat agree,0,280,0,0,0
No opinion,0,0,363,0,0
Somewhat disagree,0,0,0,249,0
Strongly disagree,0,0,0,0,105
