Option,I am not familiar enough to answer,Strongly agree,Somewhat agree,It has remained the same,Somewhat disagree,Strongly disagree
Strongly agree,39,15,21,2,2,1
Somewhat agree,122,46,73,31,3,3
No opinion,161,55,79,39,12,14
Somewhat disagree,109,28,68,25,13,2
Strongly disagree,41,14,34,10,4,1
