Option,2400,2300-2390,2200-2290,2100-2190,2000-2090,1900-1990,1800-1890,<1800
Strongly agree,4,14,20,10,6,4,2,1
Somewhat agree,4,62,63,54,16,11,9,5
No opinion,11,86,90,45,18,15,10,5
Somewhat disagree,5,51,50,38,24,16,3,1
Strongly disagree,1,18,29,9,13,4,8,1
