Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
Strongly agree,19,36,20,4,0
Somewhat agree,57,112,88,22,1
No opinion,48,137,156,21,0
Somewhat disagree,29,109,81,29,1
Strongly disagree,7,32,34,27,5
