Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
Strongly approve,74,36,43,6,1
Somewhat approve,105,189,103,27,3
No opinion,24,115,220,17,2
Somewhat disapprove,17,28,44,12,2
Strongly disapprove,1,3,2,0,0
