Option,They were a strong factor in my decision,They were a minor factor in my decision,"I looked at college rankings, but they did not factor into my decision",I did not look at college rankings
Strongly approve,59,60,34,7
Somewhat approve,132,198,79,19
No opinion,132,159,68,19
Somewhat disapprove,27,53,19,4
Strongly disapprove,2,1,1,3
