Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
Strongly approve,160,0,0,0,0
Somewhat approve,0,428,0,0,0
No opinion,0,0,379,0,0
Somewhat disapprove,0,0,0,103,0
Strongly disapprove,0,0,0,0,7
