Option,2400,2300-2390,2200-2290,2100-2190,2000-2090,1900-1990,1800-1890,<1800
Strongly approve,3,25,44,24,10,7,4,2
Somewhat approve,12,96,103,56,29,20,16,3
No opinion,8,85,71,66,30,20,10,6
Somewhat disapprove,2,22,30,10,8,3,1,2
Strongly disapprove,0,1,5,0,0,0,1,0
