Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Strongly approve,19,57,48,29,7
Somewhat approve,36,112,137,109,32
No opinion,20,88,156,81,34
Somewhat disapprove,4,22,21,29,27
Strongly disapprove,0,1,0,1,5
