Option,Very accurately,Somewhat accurately,No opinion,Somewhat inaccurately,Very inaccurately
Strongly approve,12,81,20,38,9
Somewhat approve,24,179,55,146,23
No opinion,21,166,87,92,13
Somewhat disapprove,3,33,16,32,19
Strongly disapprove,0,3,0,3,1
