Option,Very comfortable,Somewhat comfortable,No opinion,Somewhat uncomfortable,Very uncomfortable
Strongly approve,56,84,1,14,5
Somewhat approve,167,198,12,42,8
No opinion,109,193,12,52,12
Somewhat disapprove,34,49,2,17,1
Strongly disapprove,4,1,0,1,1
