Option,None,Just loans,Grants and loans,"Grants, covering some costs","Grants, covering all costs"
Strongly approve,92,9,24,18,15
Somewhat approve,229,20,82,64,30
No opinion,187,27,70,60,30
Somewhat disapprove,43,7,23,23,5
Strongly disapprove,3,1,1,1,0
