Option,They were a strong factor in my decision,They were a minor factor in my decision,"I looked at college rankings, but they did not factor into my decision",I did not look at college rankings
American Indian/Alaska Native,8,2,5,0
Not American Indian/Alaska Native,344,466,192,51
