Option,They were a strong factor in my decision,They were a minor factor in my decision,"I looked at college rankings, but they did not factor into my decision",I did not look at college rankings
Native Hawaiian/Pacific Islander,3,2,0,0
Not Native Hawaiian/Pacific Islander,349,466,197,51
