Option,I am not familiar enough to answer,Strongly agree,Somewhat agree,It has remained the same,Somewhat disagree,Strongly disagree
Native Hawaiian/Pacific Islander,2,2,0,1,0,0
Not Native Hawaiian/Pacific Islander,466,156,273,105,33,21
