Option,I am not familiar enough to answer,Strongly agree,Somewhat agree,It has remained the same,Somewhat disagree,Strongly disagree
American Indian/Alaska Native,5,1,7,0,1,1
Not American Indian/Alaska Native,463,157,266,106,32,20
