Option,2400,2300-2390,2200-2290,2100-2190,2000-2090,1900-1990,1800-1890,<1800
American Indian/Alaska Native,0,0,3,1,4,1,4,0
Not American Indian/Alaska Native,25,227,245,154,73,49,28,13
