Option,Very comfortable,Somewhat comfortable,No opinion,Somewhat uncomfortable,Very uncomfortable
Native Hawaiian/Pacific Islander,1,1,0,1,2
Not Native Hawaiian/Pacific Islander,363,521,28,125,25
