Option,2400,2300-2390,2200-2290,2100-2190,2000-2090,1900-1990,1800-1890,<1800
Native Hawaiian/Pacific Islander,0,1,0,0,0,1,0,2
Not Native Hawaiian/Pacific Islander,25,226,248,155,77,49,32,11
