Option,I am not familiar enough to answer,Strongly agree,Somewhat agree,It has remained the same,Somewhat disagree,Strongly disagree
First-year,281,21,18,4,2,4
Sophomore,29,79,135,38,17,8
Junior,58,36,76,45,11,4
Senior,105,21,45,20,4,5
