Option,36,35,34,33,32,31,30,29,<29
First-year,16,39,44,18,20,13,9,12,14
Sophomore,8,39,24,21,17,9,8,7,3
Junior,10,14,24,16,7,9,7,7,5
Senior,3,15,30,8,7,9,7,2,7
