Option,They were a strong factor in my decision,They were a minor factor in my decision,"I looked at college rankings, but they did not factor into my decision",I did not look at college rankings
First-year,115,151,52,13
Sophomore,85,134,69,17
Junior,84,106,37,9
Senior,68,81,42,12
