Option,Very comfortable,Somewhat comfortable,No opinion,Somewhat uncomfortable,Very uncomfortable
First-year,93,186,11,31,10
Sophomore,109,142,10,42,3
Junior,82,111,4,27,10
Senior,85,84,3,27,4
