Option,2400,2300-2390,2200-2290,2100-2190,2000-2090,1900-1990,1800-1890,<1800
First-year,6,75,66,36,25,14,10,6
Sophomore,12,75,78,38,21,15,4,1
Junior,2,45,57,44,20,10,10,3
Senior,5,35,52,37,11,11,8,3
