Option,Very accurately,Somewhat accurately,No opinion,Somewhat inaccurately,Very inaccurately
Strongly approve,9,93,20,74,24
Somewhat approve,22,170,59,102,19
No opinion,27,178,89,105,14
Somewhat disapprove,2,18,9,28,5
Strongly disapprove,0,2,2,2,2
