Option,I was discouraged from pursuing medical school by friends or peers,Not I was discouraged from pursuing medical school by friends or peers
Strongly approve,2,208
Somewhat approve,2,352
No opinion,1,390
Somewhat disapprove,1,61
Strongly disapprove,1,7
