Option,They were a strong factor in my decision,They were a minor factor in my decision,"I looked at college rankings, but they did not factor into my decision",I did not look at college rankings
Strongly approve,66,91,56,8
Somewhat approve,125,171,59,17
No opinion,139,177,73,23
Somewhat disapprove,19,30,11,2
Strongly disapprove,2,3,1,2
