Option,2400,2300-2390,2200-2290,2100-2190,2000-2090,1900-1990,1800-1890,<1800
Strongly approve,3,39,56,41,16,12,4,1
Somewhat approve,6,74,93,47,25,15,19,3
No opinion,14,101,85,54,34,20,7,9
Somewhat disapprove,1,13,17,12,2,3,2,0
Strongly disapprove,0,2,2,2,0,0,0,0
