Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
Strongly approve,74,105,24,17,1
Somewhat approve,36,189,115,28,3
No opinion,43,103,220,44,2
Somewhat disapprove,6,27,17,12,0
Strongly disapprove,1,3,2,2,0
