Option,Very comfortable,Somewhat comfortable,No opinion,Somewhat uncomfortable,Very uncomfortable
Strongly approve,83,107,3,22,6
Somewhat approve,119,182,12,48,9
No opinion,132,212,12,45,12
Somewhat disapprove,30,19,1,12,0
Strongly disapprove,4,4,0,0,0
