Option,I am not familiar enough to answer,Strongly agree,Somewhat agree,It has remained the same,Somewhat disagree,Strongly disagree
Strongly approve,82,38,65,21,5,6
Somewhat approve,160,65,100,32,9,2
No opinion,209,46,94,38,15,9
Somewhat disapprove,16,8,15,15,4,4
Strongly disapprove,3,1,2,1,1,0
