Option,None,Just loans,Grants and loans,"Grants, covering some costs","Grants, covering all costs"
Strongly approve,110,9,48,28,24
Somewhat approve,196,25,57,64,26
No opinion,211,27,79,65,26
Somewhat disapprove,31,3,13,10,4
Strongly disapprove,5,0,3,0,0
