Option,Very accurately,Somewhat accurately,No opinion,Somewhat inaccurately,Very inaccurately
Very accurately,60,0,0,0,0
Somewhat accurately,0,463,0,0,0
No opinion,0,0,179,0,0
Somewhat inaccurately,0,0,0,311,0
Very inaccurately,0,0,0,0,65
