Option,Heterosexual,Gay,Bisexual,Other
Very accurately,51,4,2,3
Somewhat accurately,378,25,44,14
No opinion,144,13,15,7
Somewhat inaccurately,230,30,38,13
Very inaccurately,45,8,4,8
