Option,2400,2300-2390,2200-2290,2100-2190,2000-2090,1900-1990,1800-1890,<1800
Very accurately,1,15,9,7,2,2,8,0
Somewhat accurately,11,108,98,61,41,20,7,8
No opinion,3,31,49,22,12,10,9,4
Somewhat inaccurately,8,62,86,49,21,16,7,0
Very inaccurately,2,15,11,17,1,2,1,1
