Option,None,Just loans,Grants and loans,"Grants, covering some costs","Grants, covering all costs"
Very accurately,30,4,12,8,5
Somewhat accurately,256,28,78,67,27
No opinion,85,14,27,33,18
Somewhat inaccurately,153,18,66,48,24
Very inaccurately,31,0,16,11,6
