Option,They were a strong factor in my decision,They were a minor factor in my decision,"I looked at college rankings, but they did not factor into my decision",I did not look at college rankings
Very accurately,27,20,8,5
Somewhat accurately,161,217,68,17
No opinion,59,67,38,14
Somewhat inaccurately,83,147,70,11
Very inaccurately,22,21,17,5
