Option,I am not familiar enough to answer,Strongly agree,Somewhat agree,It has remained the same,Somewhat disagree,Strongly disagree
Very accurately,35,6,9,5,3,2
Somewhat accurately,223,63,115,31,16,11
No opinion,78,21,46,23,5,3
Somewhat inaccurately,113,59,84,42,8,4
Very inaccurately,24,9,21,6,2,1
