Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Very accurately,12,18,24,4,2
Somewhat accurately,44,131,134,117,36
No opinion,8,39,80,34,17
Somewhat inaccurately,14,74,114,76,33
Very inaccurately,2,18,11,18,16
