Option,I was discouraged from pursuing medical school by friends or peers,Not I was discouraged from pursuing medical school by friends or peers
Very accurately,0,54
Somewhat accurately,3,434
No opinion,1,169
Somewhat inaccurately,1,299
Very inaccurately,2,63
