Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
Very accurately,12,24,21,3,0
Somewhat accurately,81,179,166,33,3
No opinion,20,55,87,16,0
Somewhat inaccurately,38,146,92,32,3
Very inaccurately,9,23,13,19,1
