Option,I was discouraged from pursuing medical school by family members,Not I was discouraged from pursuing medical school by family members
Very accurately,0,54
Somewhat accurately,2,435
No opinion,0,170
Somewhat inaccurately,2,298
Very inaccurately,0,65
