Option,Very comfortable,Somewhat comfortable,No opinion,Somewhat uncomfortable,Very uncomfortable
Very accurately,21,26,3,7,3
Somewhat accurately,155,238,6,57,6
No opinion,42,97,11,21,8
Somewhat inaccurately,119,139,6,37,9
Very inaccurately,33,25,2,4,1
