Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
Very accurately,9,22,27,2,0
Somewhat accurately,93,170,178,18,2
No opinion,20,59,89,9,2
Somewhat inaccurately,74,102,105,28,2
Very inaccurately,24,19,14,5,2
