Option,I was discouraged from pursuing medical school by my pre-medical advising experience,Not I was discouraged from pursuing medical school by my pre-medical advising experience
Very accurately,0,54
Somewhat accurately,2,435
No opinion,0,170
Somewhat inaccurately,1,299
Very inaccurately,1,64
