Option,Native Hawaiian/Pacific Islander,Not Native Hawaiian/Pacific Islander
Very comfortable,1,363
Somewhat comfortable,1,521
No opinion,0,28
Somewhat uncomfortable,1,125
Very uncomfortable,2,25
