Option,I am not familiar enough to answer,Strongly agree,Somewhat agree,It has remained the same,Somewhat disagree,Strongly disagree
Very comfortable,144,68,91,40,13,12
Somewhat comfortable,250,70,135,43,17,5
No opinion,12,5,7,4,0,0
Somewhat uncomfortable,54,12,36,17,3,3
Very uncomfortable,13,3,6,3,1,1
