Option,I was discouraged from pursuing medical school by family members,Not I was discouraged from pursuing medical school by family members
Very comfortable,1,358
Somewhat comfortable,1,494
No opinion,0,23
Somewhat uncomfortable,1,121
Very uncomfortable,1,25
