Option,Very comfortable,Somewhat comfortable,No opinion,Somewhat uncomfortable,Very uncomfortable
Very comfortable,370,0,0,0,0
Somewhat comfortable,0,525,0,0,0
No opinion,0,0,28,0,0
Somewhat uncomfortable,0,0,0,127,0
Very uncomfortable,0,0,0,0,27
