Option,2400,2300-2390,2200-2290,2100-2190,2000-2090,1900-1990,1800-1890,<1800
Very comfortable,13,82,110,51,19,8,4,3
Somewhat comfortable,9,119,104,75,49,29,13,6
No opinion,2,7,7,7,1,0,3,0
Somewhat uncomfortable,1,19,28,20,6,10,10,2
Very uncomfortable,0,4,4,3,2,2,2,2
