Option,They were a strong factor in my decision,They were a minor factor in my decision,"I looked at college rankings, but they did not factor into my decision",I did not look at college rankings
Very comfortable,111,163,75,21
Somewhat comfortable,172,233,96,24
No opinion,9,12,6,0
Somewhat uncomfortable,41,57,23,6
Very uncomfortable,18,7,1,1
