Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Very comfortable,32,91,132,83,32
Somewhat comfortable,38,148,170,119,48
No opinion,1,7,12,7,1
Somewhat uncomfortable,7,27,34,37,22
Very uncomfortable,2,6,14,3,2
