Option,I do not use any services offered by CareerLAB,Not I do not use any services offered by CareerLAB
Very comfortable,113,255
Somewhat comfortable,212,311
No opinion,9,19
Somewhat uncomfortable,39,86
Very uncomfortable,15,12
