Option,None,Just loans,Grants and loans,"Grants, covering some costs","Grants, covering all costs"
Very comfortable,209,22,55,57,21
Somewhat comfortable,271,32,100,77,41
No opinion,12,2,4,4,5
Somewhat uncomfortable,55,8,33,21,9
Very uncomfortable,8,0,8,8,2
