Option,Heterosexual,Gay,Bisexual,Other
Very comfortable,291,28,36,14
Somewhat comfortable,407,43,53,22
No opinion,25,0,3,0
Somewhat uncomfortable,103,7,10,7
Very uncomfortable,21,2,2,1
