Option,"Physical sciences (incl. math, CS)","Not Physical sciences (incl. math, CS)"
Very comfortable,136,229
Somewhat comfortable,173,349
No opinion,11,17
Somewhat uncomfortable,46,77
Very uncomfortable,13,13
