Option,I was discouraged from pursuing medical school by friends or peers,Not I was discouraged from pursuing medical school by friends or peers
Very comfortable,5,354
Somewhat comfortable,1,494
No opinion,0,23
Somewhat uncomfortable,1,121
Very uncomfortable,0,26
