Option,Very accurately,Somewhat accurately,No opinion,Somewhat inaccurately,Very inaccurately
Very comfortable,21,155,42,119,33
Somewhat comfortable,26,238,97,139,25
No opinion,3,6,11,6,2
Somewhat uncomfortable,7,57,21,37,4
Very uncomfortable,3,6,8,9,1
